AlerteID,DateCreated,Partner,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude,Nb_localites_affectes,Nature_choc,Pop_affectee_menages,Pop_affectee_individus,Pop_affectee_Deplaces,Pop_affectee_Retours,Pop_affectee_Communaute_hote,Pop_affectee_Autre,startDate,endDate,year
SOL_LAD_20190111,11.01.2019,SI,Lady,Ouham,Bouca,Lady Gbawi,7.036628,18.347197,5,Violences,2500,12500,Oui,Non,Non,Non,11.01.2019,11.01.2019,2019
SOL_KAW_20190111,11.01.2019,SI,Gbakara,Ouham,Batangafo,Hama,7.255638,18.138737,11,Violences,3000,15000,Oui,Non,Non,Non,11.01.2019,11.01.2019,2019
ACF_VAK_20180219,11.01.2019,ACF,Sabewa,Nana-Mambere,Bouar,Niem-Yelewa,6.668,14.9826,7,Autre,1344,8664,Oui,Oui,Non,Non,11.01.2019,11.01.2019,2019
SOL_GBA_20190104,05.01.2019,SI,Gbadene,Ouham,Batangafo,Ouassi,7.151558,18.338991,5,Violences,731,3655,Oui,Non,Non,Non,05.01.2019,05.01.2019,2019
ACT_BAK_20190102,02.01.2019,ACTED,Bakouma,Mbomou,Bakouma,Bakouma,5.7019,22.7817,1,Violences,1728,9068,Oui,Non,Oui,Non,02.01.2019,02.01.2019,2019
ACT_TAG_20181228,28.12.2018,ACTED,Tagbara,Ouaka,Bambari,Danga-Gboudou,5.922136,21.148134,1,Autre,590,3003,Oui,Non,Non,Non,28.12.2018,28.12.2018,2018
ACF_BOC _20181226,27.12.2018,ACF,Bocaranga,Ouham Pende,Bocaranga,Bocaranga,6.9965,15.6383,4,Autre,4241,21206,Non,Non,Oui,Non,27.12.2018,27.12.2018,2018
SOL_KPA_20181226,27.12.2018,SI,Kpakaya,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.8364,19.222383,2,Violences,,,Oui,Non,Non,Non,27.12.2018,27.12.2018,2018
ACT_KIT_20181210,10.12.2018,ACTED,Kitessa,Haut-Mbomou,Zemio,Zemio,5.3601,25.3633,1,Violences,,1800,Oui,Non,Non,Non,10.12.2018,10.12.2018,2018
ACT_BGS_20181206,08.12.2018,ACTED,Bangassou,Mbomou,Bangassou,Bangassou,4.7401,22.822201,1,Violences,111,,Non,Non,Oui,Non,08.12.2018,08.12.2018,2018
ACT_IPP_20181205,08.12.2018,ACTED,Ippy,Ouaka,Ippy,Ippy,6.2601,21.1966,1,Violences,1600,,Oui,Non,Non,Non,08.12.2018,08.12.2018,2018
ACF_BOS_20181204,04.12.2018,ACF,Bossangoa,Ouham,Bossangoa,Bossangoa,6.490976,17.445646,5,Violences,18,90,Oui,Non,Non,Non,04.12.2018,04.12.2018,2018
ACT_ALI_20181115,15.11.2018,ACTED,Alindao,Basse-Kotto,Alindao,Alindao,5.040924,21.212063,1,Violences,5000,25000,Oui,Non,Oui,Non,15.11.2018,15.11.2018,2018
SOL_BAT_20181101,14.11.2018,SI,Batangafo,Ouham,Batangafo,Batangafo,7.301,18.285101,1,Violences,4801,19310,Oui,Non,Non,Non,14.11.2018,14.11.2018,2018
SI_,07.11.2018,SI,Blakadja,Nana-Gribizi,Mbres,Mbres,6.675782,19.618208,12,Violences,2500,12500,Non,Oui,Non,Non,07.11.2018,07.11.2018,2018
ACF_BOU_20181104,05.11.2018,ACF,Bouca,Ouham,Bouca,Bouca Bobo,6.509991,18.277344,1,Violences,100,500,Oui,Non,Non,Non,05.11.2018,05.11.2018,2018
ACT_BAN_20181102,03.11.2018,ACTED,Banangui,Haut-Mbomou,Zemio,Zemio,5.551,25.233,1,Violences,,,Oui,Non,Non,Non,03.11.2018,03.11.2018,2018
ACF_,23.10.2018,ACF,Boya,Ouham,Bouca,Lady Gbawi,6.932089,18.543842,4,Autre,200,1000,Non,Oui,Non,Non,23.10.2018,23.10.2018,2018
ACF_,09.10.2018,ACF,Boguila,Ouham,Nangha Boguila,Nangha Boguila,7.275436,16.828176,5,Violences,611,3055,Non,Oui,Non,Non,09.10.2018,09.10.2018,2018
ACF_AMA _20181004,05.10.2018,ACF,Amada-Gaza,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.7721,15.1956,20,Violences,5805,29031,Oui,Non,Non,Non,05.10.2018,05.10.2018,2018
ACT_MAR_20180915,18.09.2018,ACTED,Sabegoude-Mamadou,Ouaka,Kouango,Cochio-Toulou,4.6611,20.603001,,Violences,800,,Oui,Non,Non,Non,18.09.2018,18.09.2018,2018
ACT_NGB_20180917,18.09.2018,ACTED,Ngbaka,Ouaka,Kouango,Kouango,4.916235,20.226322,1,Violences,,,Oui,Non,Non,Non,18.09.2018,18.09.2018,2018
